Aircraft,Track,Runway,Arrival/Departure,Number of Daily Day-time Operations,Number of Daily Night-time Operations,Total Number of Daily Operations
Airbus A300F4-600,A2,01L,Arrival,0.038436691,0.017777357,0.056214048
Airbus A319-100,A2,01L,Arrival,0.651291124,0.078000373,0.729291498
Airbus A320-200,A2,01L,Arrival,0.230678404,0.026735999,0.257414403
Airbus A340-600,A2,01L,Arrival,0.000680096,0.000190451,0.000870547
Boeing 717-200,A2,01L,Arrival,0.11748835,0.012028634,0.129516984
Boeing 727-200,A2,01L,Arrival,0.00569656,0.001292066,0.006988626
Boeing 737-300,A2,01L,Arrival,0.728337803,0.11062651,0.838964312
Boeing 737-700,A2,01L,Arrival,2.316201524,0.339596381,2.655797906
Boeing 747-200 ,A2,01L,Arrival,0.000615083,0.00010908,0.000724163
Boeing 757-200 ,A2,01L,Arrival,0.131716925,0.020668811,0.152385736
Boeing 757-300 ,A2,01L,Arrival,0.00165753,0.000197566,0.001855096
Boeing 767-300 ,A2,01L,Arrival,0.009364682,0.001790391,0.011155074
Boeing 787-800 Dreamliner,A2,01L,Arrival,0.000786247,8.05E-05,0.000866711
Boeing DC-10-10 ,A2,01L,Arrival,0.039702531,0.028540988,0.068243519
Boeing DC-9-30 ,A2,01L,Arrival,0.009151863,0.002117144,0.011269007
Boeing MD-11,A2,01L,Arrival,0.018612891,0.015774489,0.034387381
Boeing MD-83,A2,01L,Arrival,0.369783291,0.040014854,0.409798145
Boeing MD-90,A2,01L,Arrival,0.171793088,0.018192856,0.189985944
Bombardier CRJ-900,A2,01L,Arrival,0.512208488,0.065688761,0.577897248
Embraer ERJ145-LR,A2,01L,Arrival,0.398406499,0.052163424,0.450569923
Embraer ERJ170-LR,A2,01L,Arrival,0.879303628,0.121641535,1.000945162
Embraer ERJ190,A2,01L,Arrival,0.01179191,0.001622161,0.013414071
Airbus A300F4-600 ,A2A,01L,Arrival,0.02937557,0.012973549,0.042349119
Airbus A319-100 ,A2A,01L,Arrival,0.485030626,0.059100283,0.544130909
Airbus A320-200 ,A2A,01L,Arrival,0.171791211,0.020257661,0.192048872
Airbus A340-600 ,A2A,01L,Arrival,0.000519769,0.000138987,0.000658756
Boeing 717-200 ,A2A,01L,Arrival,0.087496123,0.009114003,0.096610126
Boeing 727-200 ,A2A,01L,Arrival,0.004242352,0.000978988,0.00522134
Boeing 737-300 ,A2A,01L,Arrival,0.542408959,0.083820855,0.626229814
Boeing 737-700 ,A2A,01L,Arrival,1.724925512,0.257309566,1.982235077
Boeing 747-200 ,A2A,01L,Arrival,0.000470083,7.96E-05,0.000549687
Boeing 757-200 ,A2A,01L,Arrival,0.098092451,0.015660599,0.11375305
Boeing 757-300 ,A2A,01L,Arrival,0.001234398,0.000149694,0.001384093
Boeing 767-300 ,A2A,01L,Arrival,0.007157039,0.001306591,0.008463629
Boeing 787-800 Dreamliner,A2A,01L,Arrival,0.000600896,5.87E-05,0.000659617
Boeing DC-10-10 ,A2A,01L,Arrival,0.030342999,0.020828625,0.051171624
Boeing DC-9-30 ,A2A,01L,Arrival,0.006815591,0.001604144,0.008419735
Boeing MD-11,A2A,01L,Arrival,0.014225061,0.011511898,0.025736959
Boeing MD-83,A2A,01L,Arrival,0.275385637,0.030318947,0.305704584
Boeing MD-90,A2A,01L,Arrival,0.127938038,0.013784587,0.141722625
Bombardier CRJ-900,A2A,01L,Arrival,0.38145277,0.049771869,0.431224639
Embraer ERJ145-LR,A2A,01L,Arrival,0.296701961,0.039523825,0.336225786
Embraer ERJ170-LR,A2A,01L,Arrival,0.654836483,0.092166855,0.747003338
Embraer ERJ190,A2A,01L,Arrival,0.008781691,0.001229099,0.01001079
Airbus A300F4-600 ,A2B,01L,Arrival,0.02937557,0.012973549,0.042349119
Airbus A319-100 ,A2B,01L,Arrival,0.485030626,0.059100283,0.544130909
Airbus A320-200 ,A2B,01L,Arrival,0.171791211,0.020257661,0.192048872
Airbus A340-600 ,A2B,01L,Arrival,0.000519769,0.000138987,0.000658756
Boeing 717-200 ,A2B,01L,Arrival,0.087496123,0.009114003,0.096610126
Boeing 727-200 ,A2B,01L,Arrival,0.004242352,0.000978988,0.00522134
Boeing 737-300 ,A2B,01L,Arrival,0.542408959,0.083820855,0.626229814
Boeing 737-700 ,A2B,01L,Arrival,1.724925512,0.257309566,1.982235077
Boeing 747-200 ,A2B,01L,Arrival,0.000470083,7.96E-05,0.000549687
Boeing 757-200 ,A2B,01L,Arrival,0.098092451,0.015660599,0.11375305
Boeing 757-300 ,A2B,01L,Arrival,0.001234398,0.000149694,0.001384093
Boeing 767-300 ,A2B,01L,Arrival,0.007157039,0.001306591,0.008463629
Boeing 787-800 Dreamliner,A2B,01L,Arrival,0.000600896,5.87E-05,0.000659617
Boeing DC-10-10 ,A2B,01L,Arrival,0.030342999,0.020828625,0.051171624
Boeing DC-9-30 ,A2B,01L,Arrival,0.006815591,0.001604144,0.008419735
Boeing MD-11,A2B,01L,Arrival,0.014225061,0.011511898,0.025736959
Boeing MD-83,A2B,01L,Arrival,0.275385637,0.030318947,0.305704584
Boeing MD-90,A2B,01L,Arrival,0.127938038,0.013784587,0.141722625
Bombardier CRJ-900,A2B,01L,Arrival,0.38145277,0.049771869,0.431224639
Embraer ERJ145-LR,A2B,01L,Arrival,0.296701961,0.039523825,0.336225786
Embraer ERJ170-LR,A2B,01L,Arrival,0.654836483,0.092166855,0.747003338
Embraer ERJ190,A2B,01L,Arrival,0.008781691,0.001229099,0.01001079
Airbus A300F4-600 ,J6,01L,Departure,0.056340964,0.010638863,0.066979827
Airbus A319-100 ,J6,01L,Departure,0.739415886,0.145037817,0.884453703
Airbus A320-200 ,J6,01L,Departure,0.261240543,0.051242824,0.312483366
Airbus A340-600 ,J6,01L,Departure,0.000875706,0.00016536,0.001041065
Boeing 717-200 ,J6,01L,Departure,0.131345628,0.025763692,0.15710932
Boeing 727-200 ,J6,01L,Departure,0.00752874,0.001476776,0.009005516
Boeing 737-300 ,J6,01L,Departure,0.850921533,0.16690986,1.017831393
